시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210104,65.00,기장밥*<br/>파마산크림스프&크루통*1.2.5.6.13.<br/>왕돈까스&브라운소스*1.2.5.6.10.12.15.<br/>오이피클&단무지*13.<br/>후르츠칵테일*11.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,1286.2 Kcal,탄수화물(g) : 170.5<br/>단백질(g) : 78.2<br/>지방(g) : 34.0<br/>비타민A(R.E) : 129.0<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 28.2<br/>칼슘(mg) : 497.6<br/>철분(mg) : 5.1,20210111043017
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210201,55.00,친환경현미밥*<br/>한우무국*5.6.13.<br/>느타리초무침*6.13.5.<br/>고추장삼치구이*5.6.13.<br/>스팸달걀부침*1.2.5.6.10.13.15.16.<br/>배추김치*9.13.<br/>감귤*,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,971.0 Kcal,탄수화물(g) : 120.1<br/>단백질(g) : 55.6<br/>지방(g) : 32.4<br/>비타민A(R.E) : 264.8<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 98.5<br/>칼슘(mg) : 204.3<br/>철분(mg) : 5.6,20210208043137
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210202,55.00,추가밥*<br/>호박두부된장찌개*5.6.13.<br/>콩나물무침*5.6.13.<br/>돼지고기고추장오븐구이*5.6.10.13.<br/>섞박지*9.13.<br/>매실음료*<br/>파채무침*5.6.13.<br/>알배추&쌈장*5.6.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,920.5 Kcal,탄수화물(g) : 133.8<br/>단백질(g) : 63.4<br/>지방(g) : 18.4<br/>비타민A(R.E) : 383.3<br/>티아민(mg) : 1.2<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 37.4<br/>칼슘(mg) : 312.4<br/>철분(mg) : 20.7,20210209043034
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210203,55.00,김가루돼지고기주먹밥*5.6.10.13.<br/>잔치국수*1.5.6.13.<br/>매콤소룡포*2.5.6.8.9.10.15.16.17.18.<br/>오징어초무침*5.6.13.<br/>볶음김치*9.13.<br/>양념장*5.6.13.<br/>사과*,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,1175.1 Kcal,탄수화물(g) : 167.2<br/>단백질(g) : 74.2<br/>지방(g) : 35.7<br/>비타민A(R.E) : 1098.4<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 58.9<br/>칼슘(mg) : 311.5<br/>철분(mg) : 6.2,20210210043017
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210303,560.00,친환경칼슘기장밥*<br/>미니우동*1.2.5.6.9.13.16.<br/>딸기크레이프케이크*1.2.5.6.<br/>달래무침*5.6.13.<br/>왕돈까스&브라운소스*5.6.1.2.10.12.15.<br/>깍두기*9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,750.6 Kcal,탄수화물(g) : 108.9<br/>단백질(g) : 46.0<br/>지방(g) : 9.8<br/>비타민A(R.E) : 192.6<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 5.6<br/>칼슘(mg) : 242.9<br/>철분(mg) : 3.4,20210310043016
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210304,560.00,야채볶음밥*2.5.6.13.<br/>한우불고기짜장소스*2.5.6.10.13.16.<br/>짬뽕국*6.9.13.17.18.<br/>반달단무지무침*<br/>찹쌀탕수육*5.6.10.16.<br/>배추김치*9.13.<br/>요구르트*2.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,730.4 Kcal,탄수화물(g) : 117.6<br/>단백질(g) : 31.6<br/>지방(g) : 17.6<br/>비타민A(R.E) : 391.6<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.7<br/>비타민C(mg) : 26.7<br/>칼슘(mg) : 351.7<br/>철분(mg) : 7.7,20210311043049
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210305,580.00,친환경현미밥*<br/>김치무국*5.6.9.13.<br/>찜닭*5.6.8.13.<br/>세발나물새송이버섯초무침*5.6.13.<br/>두부부침&양념장*5.6.13.<br/>백김치*9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,711.3 Kcal,탄수화물(g) : 109.3<br/>단백질(g) : 38.4<br/>지방(g) : 14.3<br/>비타민A(R.E) : 195.2<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 20.2<br/>칼슘(mg) : 245.7<br/>철분(mg) : 4.3,20210312043015
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210308,560.00,제육비빔밥*5.6.10.13.<br/>감자빵*1.2.5.6.<br/>봄동된장국*5.6.13.<br/>부추무침*5.6.13.<br/>연어스테이크&양파소스*5.6.7.<br/>깍두기*9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,735.5 Kcal,탄수화물(g) : 114.0<br/>단백질(g) : 53.9<br/>지방(g) : 10.9<br/>비타민A(R.E) : 469.4<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 41.3<br/>칼슘(mg) : 275.5<br/>철분(mg) : 6.3,20210315043016
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210309,540.00,친환경칼슘기장밥*<br/>물만두국*1.5.6.10.<br/>돌나물초무침*5.6.13.<br/>동부묵김가루무침*5.6.13.<br/>불닭&스노우치즈*2.5.6.13.15.<br/>배추김치*9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,861.5 Kcal,탄수화물(g) : 123.3<br/>단백질(g) : 54.9<br/>지방(g) : 18.9<br/>비타민A(R.E) : 447.6<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 44.9<br/>칼슘(mg) : 460.0<br/>철분(mg) : 7.0,20210316043312
B10,서울특별시교육청,7010073,당곡고등학교,2,중식,20210310,540.00,친환경잡곡밥*5.<br/>황태미역국*5.6.13.<br/>돼지갈비찜*5.6.10.13.<br/>참나물무침*5.6.13.<br/>버섯잡채*5.6.8.13.<br/>섞박지*9.13.,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,16152.9 Kcal,탄수화물(g) : 130.0<br/>단백질(g) : 46.4<br/>지방(g) : 1679.1<br/>비타민A(R.E) : 293.2<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 9.8<br/>칼슘(mg) : 224.6<br/>철분(mg) : 4.2,20210317043015
